school_name,level,is_closure_candidate,closure_rank,candidate_enrollment_2025_26
Abernethy Elementary School,elementary,false,,
ACCESS Academy Alternative Program,alternative,false,,
Ainsworth Elementary School,elementary,false,,
Alameda Elementary School,elementary,false,,
Alliance High School,high,false,,
Arleta K-5,elementary,true,7,230
Astor School,k8,false,,
Atkinson Elementary School,elementary,false,,
Beach School,elementary,false,,
Beaumont Middle School,middle,false,,
Benson Polytechnic High School,high,false,,
Beverly Cleary School,k8,false,,
Boise-Eliot/Humboldt Elementary School,elementary,false,,
Bridger Creative Science School,elementary,false,,
Bridlemile Elementary School,elementary,false,,
Buckman Elementary School,elementary,false,,
Capitol Hill Elementary School,elementary,false,,
César Chávez School,k8,false,,
Chapman Elementary School,elementary,false,,
Chief Joseph Elementary,elementary,true,9,242
Clark Elementary School,elementary,false,,
Cleveland High School,high,false,,
Community Transition Program,program,false,,
Creston K-5 School,elementary,true,4,213
DART School,program,false,,
DaVinci Arts Middle School,middle,false,,
Dr. Martin Luther King Jr. Elementary School,elementary,false,,
Duniway Elementary,elementary,false,,
Faubion School,k8,false,,
Forest Park Elementary School,elementary,true,14,264
Franklin High School,high,false,,
George Middle School,middle,false,,
Glencoe Elementary School,elementary,false,,
Grant High School,high,false,,
Grout Elementary School,elementary,false,,
Harriet Tubman Middle School,middle,false,,
Harrison Park Middle School,middle,false,,
Hayhurst Elementary School,elementary,false,,
Hosford Middle School,middle,false,,
Ida B. Wells High School,high,false,,
Irvington Elementary School,elementary,true,12,259
Jackson Middle School,middle,false,,
James John Elementary School,elementary,false,,
Jason Lee Elementary School,elementary,true,10,251
Jefferson High School,high,false,,
Kellogg Middle School,middle,false,,
Kelly Elementary School,elementary,false,,
Lane Middle School,middle,false,,
Laurelhurst School,k8,false,,
Lent K-5 School,elementary,true,11,256
Leodis V. McDaniel High School,high,false,,
Lewis Elementary School,elementary,true,13,259
Lincoln High School,high,false,,
Llewellyn Elementary School,elementary,false,,
Maplewood Elementary School,elementary,false,,
Markham Elementary School,elementary,false,,
Marysville,elementary,false,,
Metropolitan Learning Center,alternative,false,,
Mt Tabor Middle School,middle,false,,
Ockley Green Middle School,middle,false,,
Odyssey Program,k8,true,5,217
Peninsula K-5 School,elementary,true,8,239
Pioneer Special Schools,special,false,,
Portland Evening and Summer Scholars,program,false,,
Richmond Elementary School,elementary,false,,
Rieke Elementary School,elementary,true,15,264
Rigler Elementary School,elementary,false,,
Robert Gray Middle School,middle,false,,
Rosa Parks Elementary School,elementary,true,1,160
Roosevelt High School,high,false,,
Rose City Park Elementary School,elementary,false,,
Roseway Heights Middle School,middle,false,,
Sabin Elementary School,elementary,false,,
Scott Elementary School,elementary,false,,
Sellwood Middle School,middle,false,,
Sitton Elementary School,elementary,false,,
Skyline School,k8,true,3,207
Stephenson Elementary School,elementary,false,,
Sunnyside Environmental School,k8,false,,
Vernon School,k8,false,,
Vestal Elementary School,elementary,false,,
Virtual Scholars,alternative,false,,
West Sylvan Middle School,middle,false,,
Whitman School,elementary,true,2,194
Winterhaven School,k8,false,,
Woodlawn K-5 School,elementary,false,,
Woodmere Elementary School,elementary,true,6,227
Woodstock Elementary School,elementary,false,,
